Date	14/09/2022
Time	2:11 PM
Y_Unit_Label	Measurement (V)
X_Dimension	Supply+ (V)
***End_of_Header***
X_Values	Y_Values

3.126253	0.148748
3.136273	0.148451
3.146293	0.148156
3.156313	0.148153
3.166333	0.147881
3.176353	0.147591
3.186373	0.147302
3.196393	0.147299
3.206413	0.147010
3.216433	0.146728
3.226453	0.146726
3.236473	0.146444
3.246493	0.146162
3.256513	0.145881
3.266533	0.145878
3.276553	0.145600
3.286573	0.145327
3.296593	0.145053
3.306613	0.145054
3.316633	0.144782
3.326653	0.144508
3.336673	0.144239
3.346693	0.144238
3.356713	0.143970
3.366733	0.143701
3.376754	0.143703
3.386774	0.143465
3.396794	0.143205
3.406814	0.142946
3.416834	0.142947
3.426854	0.142692
3.436874	0.142438
3.446894	0.142184
3.456914	0.142182
3.466934	0.141929
3.476954	0.141680
3.486974	0.141682
3.496994	0.141433
3.507014	0.141186
3.517034	0.140941
3.527054	0.140941
3.537074	0.140701
3.547094	0.140457
3.557114	0.140219
3.567134	0.140218
3.577154	0.139979
3.587174	0.139738
3.597194	0.139736
3.607214	0.139519
3.617234	0.139285
3.627255	0.139056
3.637275	0.139059
3.647295	0.138828
3.657315	0.138598
3.667335	0.138368
3.677355	0.138368
3.687375	0.138143
3.697395	0.137917
3.707415	0.137691
3.717435	0.137693
3.727455	0.137471
3.737475	0.137254
3.747495	0.137250
3.757515	0.137030
3.767535	0.136810
3.777555	0.136592
3.787575	0.136591
3.797595	0.136370
3.807615	0.136153
3.817635	0.135955
3.827655	0.135959
3.837675	0.135747
3.847695	0.135534
3.857715	0.135534
3.867735	0.135322
3.877756	0.135111
3.887776	0.134906
3.897796	0.134905
3.907816	0.134698
3.917836	0.134489
3.927856	0.134283
3.937876	0.134282
3.947896	0.134076
3.957916	0.133872
3.967936	0.133870
3.977956	0.133665
3.987976	0.133464
3.997996	0.133264
4.008016	0.133264
4.018036	0.133061
4.028056	0.132862
4.038076	0.132675
4.048096	0.132673
4.058116	0.132476
4.068136	0.132275
4.078156	0.132274
4.088176	0.132078
4.098196	0.131879
4.108216	0.131681
4.118236	0.131679
4.128257	0.131484
4.138277	0.131290
