Date	14/09/2022
Time	2:19 PM
Y_Unit_Label	Measurement (V)
X_Dimension	Supply+ (V)
***End_of_Header***
X_Values	Y_Values

2.565130	1.843845
2.575150	1.857594
2.585170	1.871422
2.595190	1.885279
2.605210	1.885359
2.615230	1.899203
2.625251	1.913078
2.635271	1.913032
2.645291	1.926801
2.655311	1.940637
2.665331	1.954361
2.675351	1.954384
2.685371	1.968236
2.695391	1.982047
2.705411	1.996055
2.715431	1.996037
2.725451	2.008814
2.735471	2.022790
2.745491	2.022858
2.755511	2.036935
2.765531	2.050889
2.775551	2.064782
2.785571	2.064828
2.795591	2.078797
2.805611	2.092728
2.815631	2.106691
2.825651	2.106718
2.835671	2.120704
2.845691	2.134603
2.855711	2.148527
2.865731	2.148533
2.875752	2.162424
2.885772	2.176526
2.895792	2.176499
2.905812	2.190447
2.915832	2.204544
2.925852	2.218434
2.935872	2.218584
2.945892	2.231277
2.955912	2.245116
2.965932	2.259057
2.975952	2.259019
2.985972	2.272841
2.995992	2.286801
3.006012	2.286858
3.016032	2.300562
3.026052	2.314364
3.036072	2.328298
3.046092	2.328191
3.056112	2.342035
3.066132	2.355918
3.076152	2.369728
3.086172	2.369673
3.096192	2.383485
3.106212	2.397334
3.116232	2.397332
3.126253	2.411264
3.136273	2.424999
3.146293	2.438775
3.156313	2.438827
3.166333	2.451685
3.176353	2.465694
3.186373	2.479578
3.196393	2.479587
3.206413	2.493498
3.216433	2.507489
3.226453	2.507509
3.236473	2.521473
3.246493	2.535408
3.256513	2.549383
3.266533	2.549327
3.276553	2.563422
3.286573	2.577226
3.296593	2.590866
3.306613	2.590969
3.316633	2.604906
3.326653	2.618879
3.336673	2.632806
3.346693	2.632831
3.356713	2.646830
3.366733	2.660733
3.376754	2.660827
3.386774	2.673422
3.396794	2.687231
3.406814	2.700896
3.416834	2.700984
3.426854	2.714604
3.436874	2.728538
3.446894	2.742241
3.456914	2.742247
3.466934	2.755772
3.476954	2.769699
3.486974	2.769624
3.496994	2.783261
3.507014	2.796944
3.517034	2.810799
3.527054	2.810896
3.537074	2.824569
3.547094	2.838092
3.557114	2.851750
3.567134	2.851734
3.577154	2.865411
3.587174	2.879103
3.597194	2.879228
3.607214	2.891681
3.617234	2.905297
3.627255	2.919003
3.637275	2.919121
3.647295	2.932795
3.657315	2.946299
3.667335	2.959929
3.677355	2.959983
3.687375	2.973631
3.697395	2.987345
3.707415	3.001052
3.717435	3.001219
3.727455	3.014796
3.737475	3.028307
3.747495	3.028361
3.757515	3.042059
3.767535	3.055969
3.777555	3.069464
3.787575	3.069360
3.797595	3.083194
3.807615	3.096870
3.817635	3.109447
3.827655	3.109429
3.837675	3.123009
3.847695	3.136665
3.857715	3.136640
3.867735	3.150320
3.877756	3.163962
3.887776	3.177662
3.897796	3.177639
3.907816	3.191159
3.917836	3.204736
3.927856	3.218440
3.937876	3.218435
3.947896	3.232117
3.957916	3.245711
3.967936	3.245763
3.977956	3.259330
3.987976	3.272918
3.997996	3.286425
4.008016	3.286498
4.018036	3.300106
4.028056	3.313657
4.038076	3.326351
4.048096	3.326366
4.058116	3.340224
4.068136	3.353992
4.078156	3.353944
4.088176	3.367721
4.098196	3.381591
4.108216	3.395428
4.118236	3.395498
4.128257	3.409251
4.138277	3.422969
4.148297	3.436942
4.158317	3.437089
4.168337	3.450749
4.178357	3.464603
4.188377	3.478324
4.198397	3.478430
4.208417	3.492251
4.218437	3.506004
4.228457	3.506002
4.238477	3.519820
4.248497	3.533759
4.258517	3.546497
4.268537	3.546565
4.278557	3.560656
4.288577	3.574466
4.298597	3.588295
4.308617	3.588397
4.318637	3.602226
4.328657	3.615992
4.338677	3.616053
4.348697	3.630008
4.358717	3.643768
4.368737	3.657659
4.378758	3.657605
4.388778	3.671475
4.398798	3.685370
4.408818	3.699269
4.418838	3.699381
4.428858	3.713178
4.438878	3.727010
4.448898	3.727009
4.458918	3.740791
4.468938	3.754664
4.478958	3.767211
4.488978	3.767282
4.498998	3.781028
4.509018	3.794604
4.519038	3.808335
4.529058	3.808269
4.539078	3.821954
4.549098	3.835683
4.559118	3.849437
4.569138	3.849471
4.579158	3.863121
4.589178	3.876816
4.599198	3.876885
4.609218	3.890501
4.619238	3.904012
4.629259	3.917809
4.639279	3.917875
4.649299	3.931508
4.659319	3.945225
4.669339	3.958896
4.679359	3.959125
4.689379	3.972957
4.699399	3.985413
4.709419	3.985420
4.719439	3.999049
4.729459	4.012643
4.739479	4.026307
4.749499	4.026361
4.759519	4.039995
4.769539	4.053523
4.779559	4.066976
4.789579	4.067136
4.799599	4.080704
4.809619	4.094328
4.819639	4.094480
4.829659	4.107851
4.839679	4.121540
4.849699	4.135116
4.859719	4.135136
4.869739	4.148651
4.879760	4.162410
4.889780	4.176074
4.899800	4.176213
4.909820	4.189750
4.919840	4.202424
4.929860	4.216295
4.939880	4.216411
4.949900	4.230061
4.959920	4.243735
4.969940	4.243798
4.979960	4.257601
4.989980	4.271387
5.000000	4.285073
