Date	14/09/2022
Time	2:14 PM
Y_Unit_Label	Measurement (V)
X_Dimension	Supply+ (V)
***End_of_Header***
X_Values	Y_Values

2.965932	4.823491
2.975952	4.823460
2.985972	4.823752
2.995992	4.824060
3.006012	4.824075
3.016032	4.824356
3.026052	4.824683
3.036072	4.825019
3.046092	4.824956
3.056112	4.825322
3.066132	4.825729
3.076152	4.826001
3.086172	4.825932
3.096192	4.826326
3.106212	4.826621
3.116232	4.826651
3.126253	4.826829
3.136273	4.827193
3.146293	4.827488
3.156313	4.827514
3.166333	4.827799
3.176353	4.828097
3.186373	4.828297
3.196393	4.828313
3.206413	4.828560
3.216433	4.828915
3.226453	4.828818
3.236473	4.829180
3.246493	4.829448
3.256513	4.829767
3.266533	4.829775
3.276553	4.829974
3.286573	4.830287
3.296593	4.830557
3.306613	4.830549
3.316633	4.830817
3.326653	4.831157
3.336673	4.831328
3.346693	4.831230
3.356713	4.831585
3.366733	4.831873
3.376754	4.832001
3.386774	4.832186
3.396794	4.832464
3.406814	4.832695
3.416834	4.832718
3.426854	4.832906
3.436874	4.833217
3.446894	4.833475
3.456914	4.833488
3.466934	4.833756
3.476954	4.833996
3.486974	4.833984
3.496994	4.834258
3.507014	4.834400
3.517034	4.834698
3.527054	4.834742
3.537074	4.834983
3.547094	4.835098
3.557114	4.835409
3.567134	4.835383
3.577154	4.835608
3.587174	4.835892
3.597194	4.835857
3.607214	4.836087
3.617234	4.836281
3.627255	4.836647
3.637275	4.836626
3.647295	4.836834
3.657315	4.837104
3.667335	4.837324
3.677355	4.837360
3.687375	4.837522
3.697395	4.837760
3.707415	4.837993
3.717435	4.837951
3.727455	4.838156
3.737475	4.838381
3.747495	4.838424
3.757515	4.838669
3.767535	4.838871
3.777555	4.839099
3.787575	4.839125
3.797595	4.839291
3.807615	4.839523
3.817635	4.839715
3.827655	4.839712
3.837675	4.839968
3.847695	4.840220
3.857715	4.840224
3.867735	4.840501
3.877756	4.840595
3.887776	4.840846
3.897796	4.840906
3.907816	4.841055
3.917836	4.841287
3.927856	4.841461
3.937876	4.841424
3.947896	4.841627
3.957916	4.841857
3.967936	4.841867
3.977956	4.842147
3.987976	4.842408
3.997996	4.842587
4.008016	4.842607
4.018036	4.842801
4.028056	4.842901
4.038076	4.843115
4.048096	4.843171
4.058116	4.843333
4.068136	4.843646
4.078156	4.843544
4.088176	4.843757
4.098196	4.843958
4.108216	4.844195
