14/09/2022	2:58 PM
Base current (µA): 15.0
Collector Voltage (V),Collector Current (A)
0.75466259	0.00369003
0.99440004	0.00375126
1.25262910	0.00368341
1.50190655	0.00377775
1.74466761	0.00378707
1.99712406	0.00376838
2.24743411	0.00387736
2.49728279	0.00379213
2.74904089	0.00387724
2.99952496	0.00380126
3.24646032	0.00396181
3.49825273	0.00387830
3.74543498	0.00391491
3.99450485	0.00385990
4.24918494	0.00396409
4.49374871	0.00392090
4.74220003	0.00394823
4.99472970	0.00394035
5.24544675	0.00392436
5.49978301	0.00401065
5.75478351	0.00399117
5.98900162	0.00405448
6.23945247	0.00400820
6.49163587	0.00403496
6.74759492	0.00406655
6.99885898	0.00403595
7.25133684	0.00419192
7.49445542	0.00422109
7.74572176	0.00417443
8.00073619	0.00415058
8.24647483	0.00413653
8.49103688	0.00429759
8.74885431	0.00417138
8.99961406	0.00424572

Base current (µA): 20.0
Collector Voltage (V),Collector Current (A)
0.75466259	0.00507611
0.99440004	0.00502325
1.25262910	0.00516836
1.50190655	0.00504194
1.74466761	0.00504055
1.99712406	0.00505405
2.24743411	0.00516940
2.49728279	0.00507776
2.74904089	0.00516736
2.99952496	0.00530936
3.24646032	0.00527908
3.49825273	0.00521597
3.74543498	0.00521377
3.99450485	0.00539817
4.24918494	0.00529862
4.49374871	0.00528649
4.74220003	0.00532125
4.99472970	0.00551060
5.24544675	0.00556494
5.49978301	0.00537086
5.75478351	0.00536707
5.98900162	0.00539753
6.23945247	0.00538762
6.49163587	0.00540102
6.74759492	0.00543372
6.99885898	0.00545352
7.25133684	0.00564111
7.49445542	0.00569575
7.74572176	0.00562081
8.00073619	0.00560298
8.24647483	0.00558236
8.49103688	0.00567233
8.74885431	0.00570061
8.99961406	0.00572944

Base current (µA): 25.0
Collector Voltage (V),Collector Current (A)
0.75466259	0.00612849
0.99440004	0.00645885
1.25262910	0.00639065
1.50190655	0.00651411
1.74466761	0.00653367
1.99712406	0.00651240
2.24743411	0.00642180
2.49728279	0.00660881
2.74904089	0.00658480
2.99952496	0.00660966
3.24646032	0.00654360
3.49825273	0.00652819
3.74543498	0.00656034
3.99450485	0.00674062
4.24918494	0.00661927
4.49374871	0.00688297
4.74220003	0.00675781
4.99472970	0.00677503
5.24544675	0.00694491
5.49978301	0.00678205
5.75478351	0.00675757
5.98900162	0.00679560
6.23945247	0.00683615
6.49163587	0.00711111
6.74759492	0.00688695
6.99885898	0.00696632
7.25133684	0.00717668
7.49445542	0.00706010
7.74572176	0.00719419
8.00073619	0.00717094
8.24647483	0.00717168
8.49103688	0.00729275
8.74885431	0.00724019
8.99961406	0.00742917

Base current (µA): 30.0
Collector Voltage (V),Collector Current (A)
0.75466259	0.00668717
0.99440004	0.00754449
1.25262910	0.00773537
1.50190655	0.00762618
1.74466761	0.00764870
1.99712406	0.00763518
2.24743411	0.00783523
2.49728279	0.00801904
2.74904089	0.00802410
2.99952496	0.00780759
3.24646032	0.00795220
3.49825273	0.00799844
3.74543498	0.00808761
3.99450485	0.00793061
4.24918494	0.00812027
4.49374871	0.00810798
4.74220003	0.00801583
4.99472970	0.00810902
5.24544675	0.00825100
5.49978301	0.00840985
5.75478351	0.00844359
5.98900162	0.00828850
6.23945247	0.00848664
6.49163587	0.00855339
6.74759492	0.00844302
6.99885898	0.00840774
7.25133684	0.00865119
7.49445542	0.00857705
7.74572176	0.00867558
8.00073619	0.00866810
8.24647483	0.00864159
8.49103688	0.00882128
8.74885431	0.00884673
8.99961406	0.00872380

Base current (µA): 35.0
Collector Voltage (V),Collector Current (A)
0.75466259	0.00717659
0.99440004	0.00899115
1.25262910	0.00890065
1.50190655	0.00909799
1.74466761	0.00910955
1.99712406	0.00917476
2.24743411	0.00908868
2.49728279	0.00924545
2.74904089	0.00932989
2.99952496	0.00911605
3.24646032	0.00925434
3.49825273	0.00934556
3.74543498	0.00943981
3.99450485	0.00928874
4.24918494	0.00949238
4.49374871	0.00954268
4.74220003	0.00942830
4.99472970	0.00959486
5.24544675	0.00969695
5.49978301	0.00956334
5.75478351	0.00962519
5.98900162	0.00979623
6.23945247	0.00976934
6.49163587	0.00984387
6.74759492	0.00998138
6.99885898	0.00993686
7.25133684	0.01004240
7.49445542	0.01004254
7.74572176	0.00995912
8.00073619	0.00998801
8.24647483	0.01004963
8.49103688	0.01025993
8.74885431	0.01042690
8.99961406	0.01030251
